Cidade,Idade,Sexo,EstadoCivil,NumeroFilhos,Escolaridade,Ocupacao,AreaAtuacao,NivelGerencial,TipoResidencia,CondicaoResidencia,ValorImovel,NoAutomoveis,Computador,PrimeiraCompra
7,42,1,2,0,3,3,1,2,2,2,2,1,2,0.0
3,50,2,2,0,3,3,7,3,2,3,3,1,1,0.0
6,28,2,1,1,1,3,5,1,1,2,2,0,2,1.0
9,49,2,3,0,3,1,3,4,3,2,3,1,2,0.0
9,34,1,3,0,3,3,4,3,3,2,3,1,2,1.0
10,52,2,3,0,4,4,1,5,3,3,3,2,1,0.0
5,51,2,3,0,3,3,8,3,3,3,3,1,2,0.0
6,43,1,1,1,2,2,5,2,2,2,2,1,2,1.0
9,60,1,3,0,4,3,4,5,3,4,3,2,2,0.0
9,50,2,4,0,4,4,6,6,3,4,5,3,2,0.0
8,37,1,2,0,2,3,9,2,2,2,2,1,2,1.0
9,38,1,3,0,2,6,6,2,3,2,2,1,2,1.0
9,32,1,1,2,3,3,6,2,2,2,3,1,2,1.0
5,27,2,1,0,3,5,8,2,2,2,2,1,2,1.0
10,38,1,1,0,3,3,4,2,3,2,3,1,2,1.0
8,27,2,1,0,2,2,3,1,1,2,2,0,1,1.0
2,45,1,3,4,3,3,4,3,3,3,3,1,2,1.0
2,24,2,1,0,0,6,5,1,1,1,1,0,2,1.0
3,44,1,2,0,2,2,7,2,2,2,2,0,2,1.0
4,52,1,4,0,4,1,1,5,3,3,4,1,2,0.0
8,40,2,3,0,3,3,7,3,3,3,3,1,2,0.0
2,26,1,1,1,2,2,1,1,1,1,2,0,2,1.0
5,28,1,1,0,2,2,2,1,3,2,2,0,2,1.0
10,50,2,3,1,4,4,0,6,3,4,4,2,2,0.0
2,43,1,3,0,3,1,4,2,3,2,2,0,2,1.0
2,59,2,4,0,4,4,5,6,3,4,4,2,2,0.0
9,25,2,1,2,1,7,0,1,1,1,1,0,2,1.0
9,31,1,1,1,2,6,5,2,2,2,2,0,2,1.0
9,38,2,2,0,2,4,2,1,2,2,2,0,1,1.0
5,46,2,1,0,3,6,5,4,2,3,3,1,2,0.0
4,48,1,3,0,3,0,4,5,3,3,3,1,1,0.0
7,45,2,1,0,2,3,3,2,2,2,2,1,2,1.0
4,36,2,1,1,2,7,0,1,2,2,2,0,2,1.0
3,26,1,1,0,2,3,2,1,2,1,1,1,1,1.0
10,31,1,1,1,2,3,1,1,1,2,2,0,2,1.0
5,51,1,3,0,3,3,2,3,2,2,3,1,2,0.0
10,35,2,1,0,3,5,8,2,2,2,2,0,2,1.0
8,51,2,2,0,3,3,5,3,2,2,3,1,2,0.0
4,35,1,3,0,3,3,9,2,2,2,2,1,2,1.0
2,20,1,1,0,1,4,6,1,1,1,1,0,2,1.0
9,47,2,1,1,3,3,6,2,3,3,3,0,2,1.0
